species_slug,filename,specimen,view,cause,detail,cdn_status,displayed_as,filename_name_differs,family,common_name,image_url,species_page_url
arachnis-citra,Arachnis citra-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Erebidae,,https://moths.pnwinsects.org/arachnis-citra/Arachnis%20citra-A-V.jpg,https://moths.pnwinsects.org/species/arachnis-citra/
arachnis-citra,Arachnis citra-B-V.jpg,B,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Erebidae,,https://moths.pnwinsects.org/arachnis-citra/Arachnis%20citra-B-V.jpg,https://moths.pnwinsects.org/species/arachnis-citra/
arachnis-citra,Arachnis citra-C-V.jpg,C,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Erebidae,,https://moths.pnwinsects.org/arachnis-citra/Arachnis%20citra-C-V.jpg,https://moths.pnwinsects.org/species/arachnis-citra/
arachnis-citra,Arachnis citra-D-V.jpg,D,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Erebidae,,https://moths.pnwinsects.org/arachnis-citra/Arachnis%20citra-D-V.jpg,https://moths.pnwinsects.org/species/arachnis-citra/
arctia-alpina,Arctia alpina-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Erebidae,Arctic Tiger Moth,https://moths.pnwinsects.org/arctia-alpina/Arctia%20alpina-A-V.jpg,https://moths.pnwinsects.org/species/arctia-alpina/
arctia-caja,Arctia caja-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Erebidae,Great Tiger Moth,https://moths.pnwinsects.org/arctia-caja/Arctia%20caja-A-V.jpg,https://moths.pnwinsects.org/species/arctia-caja/
arctia-opulenta,Arctia opulenta-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Erebidae,,https://moths.pnwinsects.org/arctia-opulenta/Arctia%20opulenta-A-V.jpg,https://moths.pnwinsects.org/species/arctia-opulenta/
ascalapha-odorata,Ascalapha odorata-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Erebidae,Black Witch Moth,https://moths.pnwinsects.org/ascalapha-odorata/Ascalapha%20odorata-A-V.jpg,https://moths.pnwinsects.org/species/ascalapha-odorata/
aseptis-binotata,Aseptis binotata-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,,https://moths.pnwinsects.org/aseptis-binotata/Aseptis%20binotata-A-V.jpg,https://moths.pnwinsects.org/species/aseptis-binotata/
aseptis-binotata,Aseptis binotata-B-D.jpg,B,dorsal,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,,https://moths.pnwinsects.org/aseptis-binotata/Aseptis%20binotata-B-D.jpg,https://moths.pnwinsects.org/species/aseptis-binotata/
aseptis-binotata,Aseptis binotata-B-V.jpg,B,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,,https://moths.pnwinsects.org/aseptis-binotata/Aseptis%20binotata-B-V.jpg,https://moths.pnwinsects.org/species/aseptis-binotata/
aseptis-binotata,Aseptis binotata-C-D.jpg,C,dorsal,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,,https://moths.pnwinsects.org/aseptis-binotata/Aseptis%20binotata-C-D.jpg,https://moths.pnwinsects.org/species/aseptis-binotata/
aseptis-binotata,Aseptis binotata-C-V.jpg,C,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,,https://moths.pnwinsects.org/aseptis-binotata/Aseptis%20binotata-C-V.jpg,https://moths.pnwinsects.org/species/aseptis-binotata/
aseptis-characta,Aseptis characta-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,,https://moths.pnwinsects.org/aseptis-characta/Aseptis%20characta-A-V.jpg,https://moths.pnwinsects.org/species/aseptis-characta/
aseptis-characta,Aseptis characta-B-D.jpg,B,dorsal,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,,https://moths.pnwinsects.org/aseptis-characta/Aseptis%20characta-B-D.jpg,https://moths.pnwinsects.org/species/aseptis-characta/
aseptis-characta,Aseptis characta-B-V.jpg,B,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,,https://moths.pnwinsects.org/aseptis-characta/Aseptis%20characta-B-V.jpg,https://moths.pnwinsects.org/species/aseptis-characta/
aseptis-characta,Aseptis characta-C-D.jpg,C,dorsal,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,,https://moths.pnwinsects.org/aseptis-characta/Aseptis%20characta-C-D.jpg,https://moths.pnwinsects.org/species/aseptis-characta/
aseptis-characta,Aseptis characta-C-V.jpg,C,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,,https://moths.pnwinsects.org/aseptis-characta/Aseptis%20characta-C-V.jpg,https://moths.pnwinsects.org/species/aseptis-characta/
aseptis-ethnica,Aseptis ethnica-B-V.jpg,B,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,,https://moths.pnwinsects.org/aseptis-ethnica/Aseptis%20ethnica-B-V.jpg,https://moths.pnwinsects.org/species/aseptis-ethnica/
aseptis-fumosa,Aseptis fumosa-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,,https://moths.pnwinsects.org/aseptis-fumosa/Aseptis%20fumosa-A-V.jpg,https://moths.pnwinsects.org/species/aseptis-fumosa/
aseptis-fumosa,Aseptis fumosa-B-D.jpg,B,dorsal,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,,https://moths.pnwinsects.org/aseptis-fumosa/Aseptis%20fumosa-B-D.jpg,https://moths.pnwinsects.org/species/aseptis-fumosa/
aseptis-fumosa,Aseptis fumosa-B-V.jpg,B,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,,https://moths.pnwinsects.org/aseptis-fumosa/Aseptis%20fumosa-B-V.jpg,https://moths.pnwinsects.org/species/aseptis-fumosa/
autographa-ampla,Autographa ampla-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,Large Looper Moth,https://moths.pnwinsects.org/autographa-ampla/Autographa%20ampla-A-V.jpg,https://moths.pnwinsects.org/species/autographa-ampla/
autographa-bimaculata,Autographa bimaculata-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,Two-spotted Looper Moth,https://moths.pnwinsects.org/autographa-bimaculata/Autographa%20bimaculata-A-V.jpg,https://moths.pnwinsects.org/species/autographa-bimaculata/
autographa-buraetica,Autographa buraetica-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,,https://moths.pnwinsects.org/autographa-buraetica/Autographa%20buraetica-A-V.jpg,https://moths.pnwinsects.org/species/autographa-buraetica/
autographa-californica,Autographa californica-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,Alfalfa Looper Moth,https://moths.pnwinsects.org/autographa-californica/Autographa%20californica-A-V.jpg,https://moths.pnwinsects.org/species/autographa-californica/
