id,genus,species,common_name,noc_id,authority,family,similar_species,subfamily
1570,Smerinthus,jamaicensis,Twin-spotted Sphinx Moth,MONA 7821,"(Drury, 1773)",Sphingidae,smerinthus-cerisyi,Smerinthinae
1571,Hypena,modestoides,,93-0587,"Poole, 1989",Erebidae,hypena-humuli|hypena-californica,Hypeninae
1572,Tarache,flavipennis,,93-1347,"Grote, 1873",Noctuidae,tarache-knowltoni,Acontiinae
1573,Autographa,pseudogamma,,93-1196,"(Grote, 1875)",Noctuidae,autographa-californica|autographa-buraetica,Plusiinae
1574,Ceratomia,undulosa,Waved Sphinx Moth,MONA 7787,"(Walker, 1856)",Sphingidae,ceratomia-amyntor,Sphinginae
1575,Rhizagrotis,albalis,,93-2687,"(Grote, 1878)",Noctuidae,andropolia-diversilineata,Noctuinae
1576,Idia,lubricalis,Glossy Black Idia Moth,93-0482,"(Geyer, 1832)",Erebidae,idia-occidentalis|metalectra-bigallis,Herminiinae
1577,Apamea,digitula,,93-2315,"Mustelin & Mikkola, 2006",Noctuidae,apamea-sordens,Noctuinae
1578,Syngrapha,viridisigma,Spruce False Looper Moth,93-1213,"(Grote, 1874)",Noctuidae,syngrapha-celsa,Plusiinae
1579,Stretchia,prima,,93-2761,"Smith, 1891",Noctuidae,stretchia-muricina|stretchia-plusiiformis,Noctuinae
1580,Protogygia,album,,93-3300,"(Harvey, 1876)",Noctuidae,copablepharon-spiritum,Noctuinae
1581,Annaphila,decia,,93-1753,"Grote, 1875",Noctuidae,annaphila-depicta|annaphila-mera|annaphila-macfarlandi,Amphipyrinae
1582,Mesogona,olivata,,93-2610,"(Harvey, 1874)",Noctuidae,dichagyris-variabilis|mesogona-rubra|mesogona-subcuprea|abagrotis-erratica,Noctuinae
1583,Agrotis,antica,,93-3523,"Crabo & Lafontaine, 2004",Noctuidae,agrotis-obliqua|agrotis-vancouverensis,Noctuinae
1584,Ipimorpha,viridipallida,,93-2678,"Barnes & McDunnough, 1916",Noctuidae,ipimorpha-nanaimo|ipimorpha-pleonectusa,Noctuinae
1585,Oligia,tusa,,93-2379,"(Grote, 1878)",Noctuidae,mesapamea-fractilinea|dryotype-opina|oligia-divesta|mesapamea-secalis,Noctuinae
1586,Tarache,major,,93-1365,"(Smith, 1900)",Noctuidae,tarache-augustipennis,Acontiinae
1587,Tarache,knowltoni,,93-1346,"(McDunnough, 1940)",Noctuidae,,Acontiinae
1589,Apamea,occidens,Western Apamea Moth,93-2332,"(Grote, 1878)",Noctuidae,papestra-invalida|apamea-unita,Noctuinae
1590,Cerastis,enigmatica,Enigmatic Dart Moth,93-3540,"Lafontaine & Crabo, 1997",Noctuidae,cerastis-gloriosa,Noctuinae
1591,Schinia,arcigera,Arcigera Flower Moth,93-2134,"(Guen̩e, 1852)",Noctuidae,schinia-mortua|schinia-rivulosa,Heliothinae
1592,Proxenus,miranda,Miranda Moth,93-2266,"(Grote, 1873)",Noctuidae,proxenus-mindara|hypoprepia-inculta|proxenus-mendosa,Noctuinae
1593,Gnophaela,vermiculata,Police Car Moth,93-0356,"(Grote, 1864)",Erebidae,gnophaela-latipennis,Arctiinae
1594,Lithophane,itata,,93-2565,"(Smith, 1899)",Noctuidae,lithophane-fagina|lithophane-boogeri,Noctuinae
1595,Sympistis,figurata,,93-1946,"(Harvey, 1875)",Noctuidae,sympistis-semicollaris|sympistis-pallidior|sympistis-greyi,Oncocnemidinae
1596,Euthyatira,pudens,Dogwood Thyatirid Moth,MONA 6240,(Guen̩e),Drepanidae,eosphoropteryx-thyatyroides|euthyatira-lorata,Thyatirinae
1597,Pseudobryomima,muscosa,Mossy Pseudobryomima Moth ,93-2730,"(Hampson, 1906)",Noctuidae,viridiseptis-marina|hecatera-dysodea,Noctuinae
1598,Idia,americalis,American Idia Moth,93-0469,"(Guen̩e, 1854)",Erebidae,idia-aemula|idia-suffusalis|idia-concisa,Herminiinae
1599,Aseptis,fanatica,,93-2631,"Mustelin, 2006",Noctuidae,hillia-maida|melanapamea-mixta|aseptis-fumosa,Noctuinae
1600,Polia,piniae,Polia Moth,93-2866,"Buckett & Bauer, 1967",Noctuidae,acronicta-dactylina|polia-discalis|polia-nimbosa,Noctuinae
1601,Apantesis,quenseli,Labrador Tiger Moth,93-0250,"(Paykull, 1793)",Erebidae,holoarctia-sordida|grammia-speciosa,Arctiinae
1602,Brachylomia,elda,,93-2652,"(French, 1887)",Noctuidae,brachylomia-populi,Noctuinae
1603,Abagrotis,baueri,,93-3677,"McDunnough, 1949",Noctuidae,abagrotis-orbis|abagrotis-forbesi|abagrotis-trigona|abagrotis-cupida|parabagrotis-cupidissima,Noctuinae
1604,Brachylomia,rectifascia,,93-2659,"(Smith, 1891)",Noctuidae,litholomia-napaea,Noctuinae
1605,Dasychira,plagiata,Northern Pine Tussock Moth,93-0156,"(Walker, 1865)",Erebidae,dasychira-grisefacta,Lymantriinae
1606,Caenurgina,erechtea,Forage Looper Moth,93-0924,"(Cramer, [1780])",Erebidae,caenurgina-crassiuscula,Erebinae
1607,Catocala,grotiana,,93-0805,"Bailey, 1879",Erebidae,catocala-briseis,Erebinae
1608,Annaphila,macfarlandi,,93-1752,"Buckett & Bauer, 1964",Noctuidae,annaphila-mera|annaphila-decia|annaphila-depicta,Amphipyrinae
1609,Syngrapha,diasema,,93-1219,"(Boisduval, 1828)",Noctuidae,syngrapha-borea|syngrapha-orophila,Plusiinae
1610,Psammopolia,arietis,,93-3011,"(Grote, 1879)",Noctuidae,psammopolia-wyatti|eremobina-claudens,Noctuinae
1611,Apantesis,virguncula,Little Virgin Tiger Moth,93-0247,"(Wm. Kirby, 1837)",Erebidae,holarctia-obliterata|grammia-speciosa,Arctiinae
1612,Orthodes,noverca,,93-3143,"(Grote, 1878)",Noctuidae,oligia-obtusa|protorthodes-alfkenii|orthodes-detracta|orthodes-goodelli|euxoa-terrenus|rhabdorthodes-pattersoni,Noctuinae
1613,Colocasia,propinquilinea,Closebanded Yellowhorn Moth,93-1401,"(Grote, 1873)",Noctuidae,,Pantheinae
1614,Diarsia,esurialis,,93-3530,"(Grote, 1881)",Noctuidae,diarsia-calgary,Noctuinae
1615,Abagrotis,dodi,,93-3670,"McDunnough, 1927",Noctuidae,abagrotis-duanca|abagrotis-placida,Noctuinae
1616,Papestra,cristifera,,93-2894,"(Walker, 1858)",Noctuidae,spiramater-lutra|papestra-biren|papestra-brenda|melanchra-adjuncta,Noctuinae
1617,Aseptis,fumosa,,93-2626,"(Grote, 1879)",Noctuidae,aseptis-fannatica|condica-albolabes,Noctuinae
2778,Sympistis,utahensis,,93-1856,"(Barnes & Benjamin, 1924)",Noctuidae,,Oncocnemidinae
1619,Homorthodes,carneola,,93-3097,"McDunnough, 1943",Noctuidae,homorthodes-discreta,Noctuinae
1620,Cucullia,postera,,93-1509,"Guen̩e, 1852",Noctuidae,cucullia-omissa|cucullia-florea|cucullia-similaris,Cuculliinae
1621,Lasionycta,promulsa,,93-3005,"(Morrison, 1875)",Noctuidae,lasionycta-macleani|lasionycta-silacea|lasionycta-pulverea|lasionycta-brunnea,Noctuinae
1622,Lithomoia,germana,,93-2524,"(Morrison, 1875)",Noctuidae,lithophane-georgii,Noctuinae
1623,Lasionycta,quadrilunata,,93-2995,"(Grote, 1874)",Noctuidae,lasionycta-carolynae|lasionycta-lagganata,Noctuinae
1624,Amphipyra,tragopoginis,Mouse Moth,93-1545,"(Clerck, 1759)",Noctuidae,graphiphora-augur,Amphipyrinae
1625,Lithophane,georgii,,93-2573,"Grote, 1875",Noctuidae,lithophane-pertorrida|lithomoia-germana,Noctuinae
1626,Hypena,abalienalis,White-lined Bomolocha Moth,93-0566,"(Walker, 1859)",Erebidae,hypena-palparia,Hypeninae
1627,Euxoa,simulata,,93-3385,"McDunnough, 1946",Noctuidae,euxoa-dodi|euxoa-comosa|euxoa-extranea|euxoa-terrenus,Noctuinae
1628,Cerastis,gloriosa,,93-3541,"Crabo & Lafontaine, 1997",Noctuidae,cerastis-enigmatica,Noctuinae
1629,Oligocentria,pallida,Pale Prominent Moth,93-0107,"(Strecker, 1899)",Notodontidae,oligocentria-semirufescens,Heterocampinae
1630,Trichocerapoda,strigata,,93-3082,"(Smith, 1891)",Noctuidae,trichocerapoda-oblita|lacinipolia-pensilis,Noctuinae
1631,Gluphisia,avimacula,Four-spotted Gluphisia Moth,93-0021,Hudson. 1891,Notodontidae,gluphisia-septentrionis|gluphisia-severa,Notodontinae
1633,Xestia,ursae,,93-3601,"(McDunnough, 1940)",Noctuidae,agrotis-ruta|feltia-nigrita|xestia-atrata,Noctuinae
1634,Mycterophora,inexplicata,,93-0674,Walker 1866,Erebidae,mycterophora-longipalpata,Boletobiinae
1635,Litholomia,napaea,,93-2530,"(Morrison, 1874)",Noctuidae,lacinipolia-anguina|brachylomia-rectifascia|sympistis-dunbari,Noctuinae
1636,Orthosia,transparens,Transparent Quaker Moth,93-2764,"Grote, 1882",Noctuidae,sideridis-maryx|orthosia-pulchella,Noctuinae
1637,Neoligia,tonsa,,93-2397,"(Grote, 1880)",Noctuidae,neoligia-albirena|neoligia-lillooet|neoligia-lancea|neoligia-invenusta,Noctuinae
1638,Xylena,thoracica,,93-2521,"(Putnam-Cramer, 1886)",Noctuidae,xylena-cineritia,Noctuinae
1639,Photedes,defecta,,93-2425,"(Grote, 1874)",Noctuidae,hypocoena-inquinata|hypocoena-rufostrigata|mythimna-oxygala,Noctuinae
1640,Euxoa,rufula,,93-3359,"(Smith, [1888])",Noctuidae,euxoa-divergens|euxoa-intrita,Noctuinae
1641,Neoligia,albirena,,93-2401,"Troubridge & Lafontaine, 2002",Noctuidae,neoligia-tonsa|neoligia-lancea|neoligia-lillooet,Noctuinae
1642,Euxoa,tronellus,,93-3446,"(Smith, 1903)",Noctuidae,euxoa-misturata|euxoa-catenula|euxoa-citricolor,Noctuinae
1643,Phyllodesma,coturnix,,MONA 7688,"De Lajonqiere, 1969",Lasiocampidae,phyllodesma-americana,Lasiocampinae
1644,Eutricopis,nexilis,White-spotted Midget Moth,93-2038,"Morrison, 1875",Noctuidae,heliothodes-diminutivus|schinia-persimilis,Heliothinae
1645,Euxoa,agema,,93-3443,"(Strecker, 1899)",Noctuidae,euxoa-oblongistigma|euxoa-olivalis,Noctuinae
1646,Lacinipolia,anguina,Snaky Arches Moth,93-3019,"(Grote, 1881)",Noctuidae,litholomia-napaea|lacinipolia-pensilis|lacinipolia-lustralis|hada-sutrina,Noctuinae
1647,Lacinipolia,strigicollis,Collared Arches Moth,93-3069,"(Wallengren, 1860)",Noctuidae,hecatera-dysodea,Noctuinae
1648,Drasteria,perplexa,Perplexed Arches Moth,93-0909,"(Hy. Edwards, 1884)",Erebidae,drasteria-stretchii,Erebinae
1649,Amphipoea,americana,American Ear Moth,93-2447,"(Speyer, 1875)",Noctuidae,amphipoea-pacifica|lacinipolia-lorea,Noctuinae
1650,Cryptocala,acadiensis,Catocaline Dart Moth,93-3553,"(Bethune, 1870)",Noctuidae,noctua-comes|noctua-pronuba,Noctuinae
1651,Malacosoma,constrictum,Pacific Tent Caterpillar Moth,MONA 7699,(H. Edwards),Lasiocampidae,malacosoma-californicum|malacosoma-disstria,Lasiocampinae
1652,Resapamea,passer,Dock Rustic Moth,93-2368,"(Guen̩e, 1852)",Noctuidae,resapamea-venosa|macronoctua-onusta|graphiphora-augur|nephelodes-minians|resapamea-innota|resapamea-enargia,Noctuinae
