row_index,species_slug,latitude,longitude,state,county,outcome,district_id,distance_km,notes
188,peridroma-saucia,49.2,-124.033,BC,Nanaimo,assigned-contained,CA:5921,,
189,protogygia-arena,43,-120.017,OR,Lake,assigned-contained,US:41037,,
190,protogygia-enalaga,42.599,-114.759,ID,Twin Falls,assigned-contained,US:16083,,
191,protogygia-enalaga,42.599,-114.759,ID,Twin Falls,assigned-contained,US:16083,,
192,feltia-jaculifera,47.499,-119.917,WA,Douglas,assigned-contained,US:53017,,
193,protogygia-enalaga,42.033,-118.283,OR,Harney,assigned-contained,US:41025,,
194,feltia-jaculifera,47.499,-119.917,WA,Douglas,assigned-contained,US:53017,,
195,protogygia-enalaga,46.378,-120.308,WA,Yakima,assigned-contained,US:53077,,
196,feltia-jaculifera,48.482,-118.728,WA,Ferry,assigned-contained,US:53019,,
197,protogygia-lagena,42.033,-118.283,OR,Harney,assigned-contained,US:41025,,
198,feltia-herilis,49.317,-123.066,BC,Greater Vancouver,assigned-contained,CA:5915,,
199,feltia-herilis,48.655,-123.556,BC,Cowichan Valley,assigned-contained,CA:5919,,
200,peridroma-saucia,49.317,-123.066,BC,Greater Vancouver,assigned-contained,CA:5915,,
201,feltia-herilis,48.816,-123.613,BC,Cowichan Valley,assigned-contained,CA:5919,,
202,actebia-fennica,49.317,-123.066,BC,Greater Vancouver,assigned-contained,CA:5915,,
203,feltia-herilis,48.8,-123.667,BC,Cowichan Valley,assigned-contained,CA:5919,,
204,peridroma-saucia,48.8,-123.667,BC,Cowichan Valley,assigned-contained,CA:5919,,
205,feltia-herilis,49.117,-116.163,BC,Central Kootenay,assigned-contained,CA:5903,,
206,protogygia-album,47.499,-119.917,WA,Douglas,assigned-contained,US:53017,,
207,feltia-herilis,49.117,-116.163,BC,Central Kootenay,assigned-contained,CA:5903,,
208,protogygia-milleri,44.15,-121.33,OR,Deschutes,assigned-contained,US:41017,,
209,feltia-herilis,49.233,-122.85,BC,Greater Vancouver,assigned-contained,CA:5915,,
210,dichagyris-variabilis,48.6,-123.416,BC,Capital,assigned-contained,CA:5917,,
211,feltia-herilis,49.775,-115.733,BC,East Kootenay,assigned-contained,CA:5901,,
212,peridroma-saucia,48.655,-123.556,BC,Cowichan Valley,assigned-contained,CA:5919,,
213,protogygia-postera,42.599,-114.759,ID,Twin Falls,assigned-contained,US:16083,,
