species_slug,latitude,longitude,year,outcome,county_before,county_after,district_id_after,notes
feltia-mollis,49.775,-115.733,1997,filled,East Kootenay,East Kootenay,CA:5901,
feltia-mollis,49.783,-115.733,1997,filled,East Kootenay,East Kootenay,CA:5901,
feltia-mollis,49.783,-115.733,1997,filled,East Kootenay,East Kootenay,CA:5901,
feltia-mollis,49.775,-115.733,1997,filled,East Kootenay,East Kootenay,CA:5901,
agrotis-vetusta,46.065,-118.352,1955,filled,Walla Walla,Walla Walla,US:53071,
feltia-mollis,49,-115.05,1991,filled,East Kootenay,East Kootenay,CA:5901,
feltia-mollis,52.118,-122.278,1996,filled,Cariboo,Cariboo,CA:5941,
feltia-mollis,52.197,-122.275,1996,filled,Cariboo,Cariboo,CA:5941,
agrotis-vetusta,47.499,-119.917,2000,filled,Douglas,Douglas,US:53017,
feltia-mollis,52.152,-122.292,1996,filled,Cariboo,Cariboo,CA:5941,
feltia-mollis,51.981,-122.466,1996,filled,Cariboo,Cariboo,CA:5941,
agrotis-vetusta,47.499,-119.917,2000,filled,Douglas,Douglas,US:53017,
agrotis-vetusta,47.499,-119.917,2000,filled,Douglas,Douglas,US:53017,
agrotis-vetusta,46.324,-117.971,1955,filled,Columbia,Columbia,US:53013,
agrotis-vetusta,45.486,-120.455,2015,filled,Sherman,Sherman,US:41055,
actebia-fennica,49.917,-116.916,1903,filled,Central Kootenay,Central Kootenay,CA:5903,
agrotis-vetusta,46.324,-117.971,1955,filled,Columbia,Columbia,US:53013,
agrotis-vetusta,46.324,-117.971,1955,filled,Columbia,Columbia,US:53013,
feltia-mollis,52.467,-116.083,,no_match,,,,no reference DB row matched the core key
agrotis-vetusta,47.499,-119.917,2000,filled,Douglas,Douglas,US:53017,
peridroma-saucia,49.917,-116.916,1903,filled,Central Kootenay,Central Kootenay,CA:5903,
peridroma-saucia,49.917,-116.916,1903,filled,Central Kootenay,Central Kootenay,CA:5903,
peridroma-saucia,49.917,-116.916,1903,filled,Central Kootenay,Central Kootenay,CA:5903,
peridroma-saucia,49.917,-116.916,1903,filled,Central Kootenay,Central Kootenay,CA:5903,
peridroma-saucia,49.917,-116.916,1903,filled,Central Kootenay,Central Kootenay,CA:5903,
peridroma-saucia,49.917,-116.916,1903,filled,Central Kootenay,Central Kootenay,CA:5903,
peridroma-saucia,49.917,-116.916,1903,filled,Central Kootenay,Central Kootenay,CA:5903,
peridroma-saucia,49.917,-116.916,1903,filled,Central Kootenay,Central Kootenay,CA:5903,
agrotis-vetusta,49.5,-115.766,1992,filled,East Kootenay,East Kootenay,CA:5901,
peridroma-saucia,49.917,-116.916,1903,filled,Central Kootenay,Central Kootenay,CA:5903,
agrotis-vetusta,50.7,-119.217,,filled,Columbia-Shuswap,Columbia-Shuswap,CA:5939,
peridroma-saucia,49.917,-116.916,1903,filled,Central Kootenay,Central Kootenay,CA:5903,
anicla-tepperi,51.05,-114.083,,no_match,,,,no reference DB row matched the core key
agrotis-vetusta,49.533,-117.417,1987,filled,Central Kootenay,Central Kootenay,CA:5903,
dichagyris-variabilis,50.7,-119.217,,filled,Columbia-Shuswap,Columbia-Shuswap,CA:5939,
agrotis-vetusta,49.533,-117.417,1987,filled,Central Kootenay,Central Kootenay,CA:5903,
agrotis-vetusta,49.533,-117.417,1987,filled,Central Kootenay,Central Kootenay,CA:5903,
dichagyris-variabilis,50.7,-119.217,,filled,Columbia-Shuswap,Columbia-Shuswap,CA:5939,
agrotis-vetusta,49.333,-117.682,1944,filled,Central Kootenay,Central Kootenay,CA:5903,
agrotis-vetusta,49.5,-117.283,1966,filled,Central Kootenay,Central Kootenay,CA:5903,
agrotis-vetusta,50.267,-119.266,1916,filled,Okanagan-Similkameen,Okanagan-Similkameen,CA:5907,
peridroma-saucia,50.7,-119.217,,filled,Columbia-Shuswap,Columbia-Shuswap,CA:5939,
actebia-fennica,50.7,-119.217,,filled,Columbia-Shuswap,Columbia-Shuswap,CA:5939,
agrotis-vetusta,49.5,-117.283,1966,filled,Central Kootenay,Central Kootenay,CA:5903,
peridroma-saucia,50.7,-119.217,,filled,Columbia-Shuswap,Columbia-Shuswap,CA:5939,
agrotis-vetusta,49.1,-116.5,1975,filled,Central Kootenay,Central Kootenay,CA:5903,
peridroma-saucia,50.7,-119.217,,filled,Columbia-Shuswap,Columbia-Shuswap,CA:5939,
agrotis-vetusta,49.1,-116.5,1975,filled,Central Kootenay,Central Kootenay,CA:5903,
peridroma-saucia,50.7,-119.217,,filled,Columbia-Shuswap,Columbia-Shuswap,CA:5939,
feltia-herilis,48.959,-117.834,2011,filled,Stevens,Stevens,US:53065,
feltia-herilis,48.449,-117.223,2012,filled,Pend Oreille,Pend Oreille,US:53051,
peridroma-saucia,49.333,-117.682,1938,filled,Central Kootenay,Central Kootenay,CA:5903,
feltia-herilis,47.71,-122.888,1995,filled,Jefferson,Jefferson,US:53031,
copablepharon-viridisparsa,49.317,-117.65,1944,filled,Central Kootenay,Central Kootenay,CA:5903,
feltia-herilis,46.324,-117.971,1957,filled,Columbia,Columbia,US:53013,
epidemas-cinerea,47.66,-119.62,2002,filled,Douglas,Douglas,US:53017,
callizzia-amorata,48.547,-118.231,2010,filled,Ferry,Ferry,US:53019,
copablepharon-spiritum,48.202,-119.71,1997,filled,Okanogan,Okanogan,US:53047,
feltia-herilis,42.599,-114.759,1958,filled,Twin Falls,Twin Falls,US:16083,
peridroma-saucia,49.25,-123.116,,filled,Greater Vancouver,Greater Vancouver,CA:5915,
copablepharon-mutans,46.917,-119.9,1998,filled,Grant,Grant,US:53025,
copablepharon-spiritum,42.15,-118.6,1999,filled,Harney,Harney,US:41025,
copablepharon-spiritum,42.467,-118.9,1999,filled,Harney,Harney,US:41025,
copablepharon-atrinotum,42.563,-119.058,1994,filled,Harney,Harney,US:41025,
feltia-herilis,50.7,-119.217,,filled,Columbia-Shuswap,Columbia-Shuswap,CA:5939,
peridroma-saucia,48.816,-123.613,,no_match,,,,no reference DB row matched the core key
feltia-herilis,50.7,-119.217,,filled,Columbia-Shuswap,Columbia-Shuswap,CA:5939,
copablepharon-viridisparsa,47.905,-118.308,1987,filled,Lincoln,Lincoln,US:53043,
copablepharon-absidum,42.679,-112.987,2010,filled,Power,Power,US:16077,
copablepharon-absidum,46.555,-118.173,1959,filled,Columbia,Columbia,US:53013,
copablepharon-absidum,46.24,-119.099,1959,filled,Franklin,Franklin,US:53021,
copablepharon-absidum,46.89,-119.95,1991,filled,Grant,Grant,US:53025,
feltia-jaculifera,51.649,-120.033,,filled,Thompson-Nicola,Thompson-Nicola,CA:5933,
copablepharon-absidum,46.378,-120.308,1963,filled,Yakima,Yakima,US:53077,
feltia-jaculifera,50.5,-119.833,1989,filled,Thompson-Nicola,Thompson-Nicola,CA:5933,
euxoa-auxiliaris,42.28,-120.19,1991,filled,Lake,Lake,US:41037,
protogygia-album,42.679,-112.987,2010,filled,Power,Power,US:16077,
feltia-herilis,48.501,-123.393,,filled,Capital,Capital,CA:5917,
protogygia-postera,44.844,-117.91,1962,filled,Baker,Baker,US:41001,
feltia-herilis,52.733,-122.117,2000,filled,Cariboo,Cariboo,CA:5941,
protogygia-postera,43.246,-118.897,2013,filled,Harney,Harney,US:41025,
feltia-herilis,49.1,-116.45,1980,filled,Central Kootenay,Central Kootenay,CA:5903,
copablepharon-grandis,43.246,-118.897,2013,filled,Harney,Harney,US:41025,
copablepharon-absidum,49.033,-119.45,1953,filled,Okanagan-Similkameen,Okanagan-Similkameen,CA:5907,
copablepharon-absidum,42.776,-114.703,1968,filled,Gooding,Gooding,US:16047,
feltia-herilis,49.2,-124.033,,filled,Nanaimo,Nanaimo,CA:5921,
feltia-herilis,48.983,-123.683,,filled,Nanaimo,Nanaimo,CA:5921,
peridroma-saucia,49.2,-124.033,,filled,Nanaimo,Nanaimo,CA:5921,
protogygia-arena,43,-120.017,2001,filled,Lake,Lake,US:41037,
protogygia-enalaga,42.599,-114.759,1962,filled,Twin Falls,Twin Falls,US:16083,
protogygia-enalaga,42.599,-114.759,1962,filled,Twin Falls,Twin Falls,US:16083,
feltia-jaculifera,47.499,-119.917,2000,filled,Douglas,Douglas,US:53017,
protogygia-enalaga,42.033,-118.283,1992,filled,Harney,Harney,US:41025,
feltia-jaculifera,47.499,-119.917,2000,filled,Douglas,Douglas,US:53017,
protogygia-enalaga,46.378,-120.308,1963,filled,Yakima,Yakima,US:53077,
feltia-jaculifera,48.482,-118.728,2014,filled,Ferry,Ferry,US:53019,
protogygia-lagena,42.033,-118.283,1992,filled,Harney,Harney,US:41025,
feltia-herilis,49.317,-123.066,,filled,Greater Vancouver,Greater Vancouver,CA:5915,
feltia-herilis,48.655,-123.556,,filled,Cowichan Valley,Cowichan Valley,CA:5919,
peridroma-saucia,49.317,-123.066,,filled,Greater Vancouver,Greater Vancouver,CA:5915,
feltia-herilis,48.816,-123.613,,filled,Cowichan Valley,Cowichan Valley,CA:5919,
actebia-fennica,49.317,-123.066,,filled,Greater Vancouver,Greater Vancouver,CA:5915,
feltia-herilis,48.8,-123.667,,filled,Cowichan Valley,Cowichan Valley,CA:5919,
peridroma-saucia,48.8,-123.667,,filled,Cowichan Valley,Cowichan Valley,CA:5919,
feltia-herilis,49.117,-116.163,1993,filled,Central Kootenay,Central Kootenay,CA:5903,
protogygia-album,47.499,-119.917,2000,filled,Douglas,Douglas,US:53017,
feltia-herilis,49.117,-116.163,1993,filled,Central Kootenay,Central Kootenay,CA:5903,
protogygia-milleri,44.15,-121.33,1996,filled,Deschutes,Deschutes,US:41017,
feltia-herilis,49.233,-122.85,,filled,Greater Vancouver,Greater Vancouver,CA:5915,
dichagyris-variabilis,48.6,-123.416,,filled,Capital,Capital,CA:5917,
feltia-herilis,49.775,-115.733,1997,filled,East Kootenay,East Kootenay,CA:5901,
peridroma-saucia,48.655,-123.556,,filled,Cowichan Valley,Cowichan Valley,CA:5919,
protogygia-postera,42.599,-114.759,1955,filled,Twin Falls,Twin Falls,US:16083,
feltia-jaculifera,46.731,-117.179,,filled,Whitman,Whitman,US:53075,
peridroma-saucia,48.501,-123.393,,filled,Capital,Capital,CA:5917,
feltia-herilis,49.917,-116.916,1903,filled,Central Kootenay,Central Kootenay,CA:5903,
dichagyris-variabilis,48.501,-123.393,,filled,Capital,Capital,CA:5917,
feltia-herilis,49.917,-116.916,1903,filled,Central Kootenay,Central Kootenay,CA:5903,
peridroma-saucia,48.431,-123.378,,filled,Capital,Capital,CA:5917,
feltia-herilis,49.917,-116.916,1903,filled,Central Kootenay,Central Kootenay,CA:5903,
dichagyris-variabilis,48.431,-123.378,,filled,Capital,Capital,CA:5917,
feltia-herilis,49.5,-117.283,1966,filled,Central Kootenay,Central Kootenay,CA:5903,
peridroma-saucia,51.649,-120.033,,filled,Thompson-Nicola,Thompson-Nicola,CA:5933,
feltia-herilis,49.333,-117.682,1903,filled,Central Kootenay,Central Kootenay,CA:5903,
actebia-fennica,48.783,-123.7,,filled,Cowichan Valley,Cowichan Valley,CA:5919,
