path,unit,bytes,species_slug,shape,detail
hydriomena-marinata/Hydriomena marinata-OSAC_0001081380-V.jpg,object,383171,hydriomena-marinata,photo-no-row,no row in data/images.csv; hydriomena-marinata is not in data/species.csv
hydriomena-morosata/Hydriomena morosata-OSAC_0001081383-D.jpg,object,380177,hydriomena-morosata,photo-no-row,no row in data/images.csv; hydriomena-morosata is not in data/species.csv
hydriomena-morosata/Hydriomena morosata-OSAC_0001081383-V.jpg,object,357030,hydriomena-morosata,photo-no-row,no row in data/images.csv; hydriomena-morosata is not in data/species.csv
hydriomena-perfracta/Hydriomena perfracta-OSAC_0001078379-D.jpg,object,400993,hydriomena-perfracta,photo-no-row,no row in data/images.csv; hydriomena-perfracta is gated and gets no page
hydriomena-perfracta/Hydriomena perfracta-OSAC_0001078379-V.jpg,object,380722,hydriomena-perfracta,photo-no-row,no row in data/images.csv; hydriomena-perfracta is gated and gets no page
hydriomena-perfracta/Hydriomena perfracta-OSAC_0001081382-D.jpg,object,397621,hydriomena-perfracta,photo-no-row,no row in data/images.csv; hydriomena-perfracta is gated and gets no page
hydriomena-perfracta/Hydriomena perfracta-OSAC_0001081382-V.jpg,object,376508,hydriomena-perfracta,photo-no-row,no row in data/images.csv; hydriomena-perfracta is gated and gets no page
hypenodes-sobria/Hypenodes sobria-A-D.jpg,object,131982,hypenodes-sobria,photo-no-row,no row in data/images.csv; hypenodes-sobria is not in data/species.csv
hypenodes-sobria/Hypenodes sobria-A-V.jpg,object,129892,hypenodes-sobria,photo-no-row,no row in data/images.csv; hypenodes-sobria is not in data/species.csv
idaea-bonifata/Idaea bonifata-OSAC_0001081349-D.jpg,object,281715,idaea-bonifata,photo-no-row,no row in data/images.csv; idaea-bonifata is not in data/species.csv
idaea-bonifata/Idaea bonifata-OSAC_0001081349-V.jpg,object,261935,idaea-bonifata,photo-no-row,no row in data/images.csv; idaea-bonifata is not in data/species.csv
idaea-bonifata/Idaea bonifata-OSAC_0001081350-D.jpg,object,296280,idaea-bonifata,photo-no-row,no row in data/images.csv; idaea-bonifata is not in data/species.csv
idaea-bonifata/Idaea bonifata-OSAC_0001081350-V.jpg,object,263158,idaea-bonifata,photo-no-row,no row in data/images.csv; idaea-bonifata is not in data/species.csv
itame-quadrilinearia/Itame quadrilinearia-A-D.jpg,object,127353,itame-quadrilinearia,photo-no-row,no row in data/images.csv; itame-quadrilinearia is not in data/species.csv
itame-quadrilinearia/Itame quadrilinearia-A-V.jpg,object,125563,itame-quadrilinearia,photo-no-row,no row in data/images.csv; itame-quadrilinearia is not in data/species.csv
lacinipolia-olivacea/Lacinipolia olivacea-D-D.jpg,object,142140,lacinipolia-olivacea,photo-no-row,no row in data/images.csv; lacinipolia-olivacea is published
lacinipolia-olivacea/Lacinipolia olivacea-D-V.jpg,object,140832,lacinipolia-olivacea,photo-no-row,no row in data/images.csv; lacinipolia-olivacea is published
lacinipolia-vicina/Lacinipolia vicina-A-D.jpg,object,139740,lacinipolia-vicina,photo-no-row,no row in data/images.csv; lacinipolia-vicina is not in data/species.csv
lacinipolia-vicina/Lacinipolia vicina-A-V.jpg,object,144364,lacinipolia-vicina,photo-no-row,no row in data/images.csv; lacinipolia-vicina is not in data/species.csv
lacinipolia-vicina/Lacinipolia vicina-B-D.jpg,object,155868,lacinipolia-vicina,photo-no-row,no row in data/images.csv; lacinipolia-vicina is not in data/species.csv
lacinipolia-vicina/Lacinipolia vicina-B-V.jpg,object,151292,lacinipolia-vicina,photo-no-row,no row in data/images.csv; lacinipolia-vicina is not in data/species.csv
lacinipolia-vittula/Lacinipolia vittula-A-D.jpg,object,148471,lacinipolia-vittula,photo-no-row,no row in data/images.csv; lacinipolia-vittula is not in data/species.csv
lacinipolia-vittula/Lacinipolia vittula-A-V.jpg,object,122588,lacinipolia-vittula,photo-no-row,no row in data/images.csv; lacinipolia-vittula is not in data/species.csv
lacinipolia-vittula/Lacinipolia vittula-B-D.jpg,object,155379,lacinipolia-vittula,photo-no-row,no row in data/images.csv; lacinipolia-vittula is not in data/species.csv
lacinipolia-vittula/Lacinipolia vittula-B-V.jpg,object,138076,lacinipolia-vittula,photo-no-row,no row in data/images.csv; lacinipolia-vittula is not in data/species.csv
leucania-anteoclara/Leucania anteoclara-A-D.jpg,object,106983,leucania-anteoclara,photo-no-row,no row in data/images.csv; leucania-anteoclara is not in data/species.csv
leucania-anteoclara/Leucania anteoclara-A-V.jpg,object,109328,leucania-anteoclara,photo-no-row,no row in data/images.csv; leucania-anteoclara is not in data/species.csv
leucania-species/Leucania species-A-D.jpg,object,119095,leucania-species,photo-no-row,no row in data/images.csv; leucania-species is not in data/species.csv
leucania-species/Leucania species-A-V.jpg,object,114686,leucania-species,photo-no-row,no row in data/images.csv; leucania-species is not in data/species.csv
lithophane-jefferyi/Lithophane jefferyi-A-D.jpg,object,132353,lithophane-jefferyi,photo-no-row,no row in data/images.csv; lithophane-jefferyi is not in data/species.csv
lithophane-jefferyi/Lithophane jefferyi-A-V.jpg,object,132734,lithophane-jefferyi,photo-no-row,no row in data/images.csv; lithophane-jefferyi is not in data/species.csv
lycia-ursaria/Lycia ursaria-OSAC_0001081316-D.jpg,object,414348,lycia-ursaria,photo-no-row,no row in data/images.csv; lycia-ursaria is not in data/species.csv
lycia-ursaria/Lycia ursaria-OSAC_0001081316-V.jpg,object,414685,lycia-ursaria,photo-no-row,no row in data/images.csv; lycia-ursaria is not in data/species.csv
macaria-ulsterata/Macaria ulsterata-A-D.jpg,object,127883,macaria-ulsterata,photo-no-row,no row in data/images.csv; macaria-ulsterata is not in data/species.csv
macaria-ulsterata/Macaria ulsterata-A-V.jpg,object,125454,macaria-ulsterata,photo-no-row,no row in data/images.csv; macaria-ulsterata is not in data/species.csv
malacodea-pulchraria/Malacodea pulchraria-OSAC_0001079537-D.jpg,object,361111,malacodea-pulchraria,photo-no-row,no row in data/images.csv; malacodea-pulchraria is not in data/species.csv
malacodea-pulchraria/Malacodea pulchraria-OSAC_0001079537-V.jpg,object,336620,malacodea-pulchraria,photo-no-row,no row in data/images.csv; malacodea-pulchraria is not in data/species.csv
mniotype-ducta/Mniotype ducta-A-D.jpg,object,131887,mniotype-ducta,photo-no-row,no row in data/images.csv; mniotype-ducta is published
mniotype-species/Mniotype species-A-D.jpg,object,142700,mniotype-species,photo-no-row,no row in data/images.csv; mniotype-species is not in data/species.csv
mniotype-species/Mniotype species-A-V.jpg,object,134351,mniotype-species,photo-no-row,no row in data/images.csv; mniotype-species is not in data/species.csv
mniotype-tenera/Mniotype tenera-A-D.jpg,object,138796,mniotype-tenera,photo-no-row,no row in data/images.csv; mniotype-tenera is published
mniotype-tenera/Mniotype tenera-A-V.jpg,object,134908,mniotype-tenera,photo-no-row,no row in data/images.csv; mniotype-tenera is published
nacophoria-mexicanaria/Nacophoria mexicanaria-A-D.jpg,object,128864,nacophoria-mexicanaria,photo-no-row,no row in data/images.csv; nacophoria-mexicanaria is not in data/species.csv
nacophoria-mexicanaria/Nacophoria mexicanaria-A-V.jpg,object,120621,nacophoria-mexicanaria,photo-no-row,no row in data/images.csv; nacophoria-mexicanaria is not in data/species.csv
nemoria-pulcherrima/Nemoria pulcherrima-OSAC_0001081351-D.jpg,object,334835,nemoria-pulcherrima,photo-no-row,no row in data/images.csv; nemoria-pulcherrima is not in data/species.csv
nemoria-pulcherrima/Nemoria pulcherrima-OSAC_0001081351-V.jpg,object,311848,nemoria-pulcherrima,photo-no-row,no row in data/images.csv; nemoria-pulcherrima is not in data/species.csv
nemoria-pulcherrima/Nemoria pulcherrima-OSAC_0001081355-D.jpg,object,324143,nemoria-pulcherrima,photo-no-row,no row in data/images.csv; nemoria-pulcherrima is not in data/species.csv
nemoria-pulcherrima/Nemoria pulcherrima-OSAC_0001081355-V.jpg,object,312401,nemoria-pulcherrima,photo-no-row,no row in data/images.csv; nemoria-pulcherrima is not in data/species.csv
neoarctia-beanii/Neoarctia beanii-A-D.jpg,object,142976,neoarctia-beanii,photo-no-row,no row in data/images.csv; neoarctia-beanii is not in data/species.csv
neoarctia-beanii/Neoarctia beanii-A-V.jpg,object,132618,neoarctia-beanii,photo-no-row,no row in data/images.csv; neoarctia-beanii is not in data/species.csv
neoarctia-brucei/Neoarctia brucei-A-D.jpg,object,123306,neoarctia-brucei,photo-no-row,no row in data/images.csv; neoarctia-brucei is not in data/species.csv
neoarctia-brucei/Neoarctia brucei-A-V.jpg,object,129780,neoarctia-brucei,photo-no-row,no row in data/images.csv; neoarctia-brucei is not in data/species.csv
neoterpes-edwardsata/Neoterpes edwardsata-OSAC_0000874687-D.jpg,object,348365,neoterpes-edwardsata,photo-no-row,no row in data/images.csv; neoterpes-edwardsata is not in data/species.csv
neoterpes-edwardsata/Neoterpes edwardsata-OSAC_0000874687-V.jpg,object,343835,neoterpes-edwardsata,photo-no-row,no row in data/images.csv; neoterpes-edwardsata is not in data/species.csv
neoterpes-edwardsata/Neoterpes edwardsata-OSAC_0001081357-D.jpg,object,324007,neoterpes-edwardsata,photo-no-row,no row in data/images.csv; neoterpes-edwardsata is not in data/species.csv
neoterpes-edwardsata/Neoterpes edwardsata-OSAC_0001081357-V.jpg,object,327578,neoterpes-edwardsata,photo-no-row,no row in data/images.csv; neoterpes-edwardsata is not in data/species.csv
neoterpes-edwardsata/Neoterpes edwardsata-OSAC_0001081362-D.jpg,object,373114,neoterpes-edwardsata,photo-no-row,no row in data/images.csv; neoterpes-edwardsata is not in data/species.csv
neoterpes-edwardsata/Neoterpes edwardsata-OSAC_0001081362-V.jpg,object,367194,neoterpes-edwardsata,photo-no-row,no row in data/images.csv; neoterpes-edwardsata is not in data/species.csv
neoterpes-ephelidaria/Neoterpes ephelidaria-OSAC_0001081353-D.jpg,object,354250,neoterpes-ephelidaria,photo-no-row,no row in data/images.csv; neoterpes-ephelidaria is not in data/species.csv
neoterpes-ephelidaria/Neoterpes ephelidaria-OSAC_0001081353-V.jpg,object,357203,neoterpes-ephelidaria,photo-no-row,no row in data/images.csv; neoterpes-ephelidaria is not in data/species.csv
neoterpes-ephelidaria/Neoterpes ephelidaria-OSAC_0001081356-D.jpg,object,328447,neoterpes-ephelidaria,photo-no-row,no row in data/images.csv; neoterpes-ephelidaria is not in data/species.csv
neoterpes-ephelidaria/Neoterpes ephelidaria-OSAC_0001081356-V.jpg,object,324163,neoterpes-ephelidaria,photo-no-row,no row in data/images.csv; neoterpes-ephelidaria is not in data/species.csv
nepytia-freemani/Nepytia freemani-OSAC_0001081360-D.jpg,object,377371,nepytia-freemani,photo-no-row,no row in data/images.csv; nepytia-freemani is not in data/species.csv
nepytia-freemani/Nepytia freemani-OSAC_0001081360-V.jpg,object,350157,nepytia-freemani,photo-no-row,no row in data/images.csv; nepytia-freemani is not in data/species.csv
notarctia-proxima/Notarctia proxima-A-D.jpg,object,136383,notarctia-proxima,photo-no-row,no row in data/images.csv; notarctia-proxima is not in data/species.csv
notarctia-proxima/Notarctia proxima-A-V.jpg,object,133834,notarctia-proxima,photo-no-row,no row in data/images.csv; notarctia-proxima is not in data/species.csv
notarctia-proxima/Notarctia proxima-B-D.jpg,object,138805,notarctia-proxima,photo-no-row,no row in data/images.csv; notarctia-proxima is not in data/species.csv
notarctia-proxima/Notarctia proxima-B-V.jpg,object,136039,notarctia-proxima,photo-no-row,no row in data/images.csv; notarctia-proxima is not in data/species.csv
notodonta-scitipennis/Notodonta scitipennis-A-D.jpg,object,126545,notodonta-scitipennis,photo-no-row,no row in data/images.csv; notodonta-scitipennis is not in data/species.csv
nycteola-frigidana/Nycteola frigidana-A-D.jpg,object,131204,nycteola-frigidana,photo-no-row,no row in data/images.csv; nycteola-frigidana is published
nycteola-frigidana/Nycteola frigidana-A-V.jpg,object,121976,nycteola-frigidana,photo-no-row,no row in data/images.csv; nycteola-frigidana is published
odontosia-elegans/Odontosia elegans-A-D.jpg,object,125739,odontosia-elegans,photo-no-row,no row in data/images.csv; odontosia-elegans is not in data/species.csv
odontosia-elegans/Odontosia elegans-A-V.jpg,object,120867,odontosia-elegans,photo-no-row,no row in data/images.csv; odontosia-elegans is not in data/species.csv
operophtera-danbyi/Operophtera danbyi-OSAC_0001081367-D.jpg,object,212836,operophtera-danbyi,photo-no-row,no row in data/images.csv; operophtera-danbyi is not in data/species.csv
operophtera-danbyi/Operophtera danbyi-OSAC_0001081368-D.jpg,object,393404,operophtera-danbyi,photo-no-row,no row in data/images.csv; operophtera-danbyi is not in data/species.csv
operophtera-danbyi/Operophtera danbyi-OSAC_0001081368-V.jpg,object,382253,operophtera-danbyi,photo-no-row,no row in data/images.csv; operophtera-danbyi is not in data/species.csv
orthodes-delecta/Orthodes delecta-A-D.jpg,object,150320,orthodes-delecta,photo-no-row,no row in data/images.csv; orthodes-delecta is not in data/species.csv
orthodes-delecta/Orthodes delecta-A-V.jpg,object,149268,orthodes-delecta,photo-no-row,no row in data/images.csv; orthodes-delecta is not in data/species.csv
pararctia-yarrowii/Pararctia yarrowii-A-D.jpg,object,149942,pararctia-yarrowii,photo-no-row,no row in data/images.csv; pararctia-yarrowii is not in data/species.csv
pararctia-yarrowii/Pararctia yarrowii-A-V.jpg,object,145661,pararctia-yarrowii,photo-no-row,no row in data/images.csv; pararctia-yarrowii is not in data/species.csv
parasemia-plantaginis/Parasemia plantaginis-A-D.jpg,object,155524,parasemia-plantaginis,photo-no-row,no row in data/images.csv; parasemia-plantaginis is not in data/species.csv
parasemia-plantaginis/Parasemia plantaginis-A-V.jpg,object,158728,parasemia-plantaginis,photo-no-row,no row in data/images.csv; parasemia-plantaginis is not in data/species.csv
parasemia-plantaginis/Parasemia plantaginis-B-D.jpg,object,138243,parasemia-plantaginis,photo-no-row,no row in data/images.csv; parasemia-plantaginis is not in data/species.csv
parasemia-plantaginis/Parasemia plantaginis-B-V.jpg,object,145999,parasemia-plantaginis,photo-no-row,no row in data/images.csv; parasemia-plantaginis is not in data/species.csv
pasiphila-rectangula/Pasiphila rectangula-A-D.jpg,object,151736,pasiphila-rectangula,photo-no-row,no row in data/images.csv; pasiphila-rectangula is not in data/species.csv
pasiphila-rectangula/Pasiphila rectangula-A-V.jpg,object,145899,pasiphila-rectangula,photo-no-row,no row in data/images.csv; pasiphila-rectangula is not in data/species.csv
pero-honestaria/Pero honestaria-OSAC_0001077563-D.jpg,object,397747,pero-honestaria,photo-no-row,no row in data/images.csv; pero-honestaria is not in data/species.csv
pero-honestaria/Pero honestaria-OSAC_0001077563-V.jpg,object,390153,pero-honestaria,photo-no-row,no row in data/images.csv; pero-honestaria is not in data/species.csv
pero-honestaria/Pero honestaria-OSAC_0001077564-D.jpg,object,402420,pero-honestaria,photo-no-row,no row in data/images.csv; pero-honestaria is not in data/species.csv
pero-honestaria/Pero honestaria-OSAC_0001077564-V.jpg,object,395744,pero-honestaria,photo-no-row,no row in data/images.csv; pero-honestaria is not in data/species.csv
peromiza-costiguttata/Peromiza costiguttata-A-D.jpg,object,102739,peromiza-costiguttata,photo-no-row,no row in data/images.csv; peromiza-costiguttata is not in data/species.csv
peromiza-costiguttata/Peromiza costiguttata-A-V.jpg,object,100354,peromiza-costiguttata,photo-no-row,no row in data/images.csv; peromiza-costiguttata is not in data/species.csv
pheosia-rimosa/Pheosia rimosa-A-D.jpg,object,132065,pheosia-rimosa,photo-no-row,no row in data/images.csv; pheosia-rimosa is not in data/species.csv
pheosia-rimosa/Pheosia rimosa-A-V.jpg,object,130238,pheosia-rimosa,photo-no-row,no row in data/images.csv; pheosia-rimosa is not in data/species.csv
pheosia-rimosa/Pheosia rimosa-B-D.jpg,object,135850,pheosia-rimosa,photo-no-row,no row in data/images.csv; pheosia-rimosa is not in data/species.csv
pheosia-rimosa/Pheosia rimosa-B-V.jpg,object,134721,pheosia-rimosa,photo-no-row,no row in data/images.csv; pheosia-rimosa is not in data/species.csv
pheosia-rimosa/Pheosia rimosa-C-D.jpg,object,137068,pheosia-rimosa,photo-no-row,no row in data/images.csv; pheosia-rimosa is not in data/species.csv
pheosia-rimosa/Pheosia rimosa-C-V.jpg,object,132860,pheosia-rimosa,photo-no-row,no row in data/images.csv; pheosia-rimosa is not in data/species.csv
pheosia-rimosa/Pheosia rimosa-D-D.jpg,object,139505,pheosia-rimosa,photo-no-row,no row in data/images.csv; pheosia-rimosa is not in data/species.csv
pheosia-rimosa/Pheosia rimosa-D-V.jpg,object,140505,pheosia-rimosa,photo-no-row,no row in data/images.csv; pheosia-rimosa is not in data/species.csv
pherne-subpunctata/Pherne subpunctata-OSAC_0001081370-D.jpg,object,339176,pherne-subpunctata,photo-no-row,no row in data/images.csv; pherne-subpunctata is not in data/species.csv
pherne-subpunctata/Pherne subpunctata-OSAC_0001081370-V.jpg,object,352974,pherne-subpunctata,photo-no-row,no row in data/images.csv; pherne-subpunctata is not in data/species.csv
pherne-subpunctata/Pherne subpunctata-OSAC_0001081371-D.jpg,object,390864,pherne-subpunctata,photo-no-row,no row in data/images.csv; pherne-subpunctata is not in data/species.csv
pherne-subpunctata/Pherne subpunctata-OSAC_0001081371-V.jpg,object,358659,pherne-subpunctata,photo-no-row,no row in data/images.csv; pherne-subpunctata is not in data/species.csv
phigalia-plumogeraria/Phigalia plumogeraria-OSAC_0000120823-D.jpg,object,437046,phigalia-plumogeraria,photo-no-row,no row in data/images.csv; phigalia-plumogeraria is gated and gets no page
phigalia-plumogeraria/Phigalia plumogeraria-OSAC_0000120823-V.jpg,object,398942,phigalia-plumogeraria,photo-no-row,no row in data/images.csv; phigalia-plumogeraria is gated and gets no page
phigalia-plumogeraria/Phigalia plumogeraria-OSAC_0000499919-D.jpg,object,211767,phigalia-plumogeraria,photo-no-row,no row in data/images.csv; phigalia-plumogeraria is gated and gets no page
plagiomimicus-tepperi/Plagiomimicus tepperi-A-D.jpg,object,128627,plagiomimicus-tepperi,photo-no-row,no row in data/images.csv; plagiomimicus-tepperi is not in data/species.csv
plagiomimicus-tepperi/Plagiomimicus tepperi-A-V.jpg,object,122861,plagiomimicus-tepperi,photo-no-row,no row in data/images.csv; plagiomimicus-tepperi is not in data/species.csv
plataea-n sp/Plataea sp-A-D.jpg,object,129723,plataea-n sp,photo-no-row,no row in data/images.csv; plataea-n sp is not in data/species.csv
plataea-n sp/Plataea sp-A-V.jpg,object,134023,plataea-n sp,photo-no-row,no row in data/images.csv; plataea-n sp is not in data/species.csv
plataea-sp/Plataea sp-A-D.jpg,object,152494,plataea-sp,photo-no-row,no row in data/images.csv; plataea-sp is not in data/species.csv
plataea-sp/Plataea sp-A-V.jpg,object,157149,plataea-sp,photo-no-row,no row in data/images.csv; plataea-sp is not in data/species.csv
platarctia-parthenos/Platarctia parthenos-A-D.jpg,object,138137,platarctia-parthenos,photo-no-row,no row in data/images.csv; platarctia-parthenos is not in data/species.csv
platarctia-parthenos/Platarctia parthenos-A-V.jpg,object,139583,platarctia-parthenos,photo-no-row,no row in data/images.csv; platarctia-parthenos is not in data/species.csv
platyprepia-virginalis/Platyprepia virginalis-A-D.jpg,object,125630,platyprepia-virginalis,photo-no-row,no row in data/images.csv; platyprepia-virginalis is not in data/species.csv
platyprepia-virginalis/Platyprepia virginalis-A-V.jpg,object,122397,platyprepia-virginalis,photo-no-row,no row in data/images.csv; platyprepia-virginalis is not in data/species.csv
platyprepia-virginalis/Platyprepia virginalis-B-D.jpg,object,135918,platyprepia-virginalis,photo-no-row,no row in data/images.csv; platyprepia-virginalis is not in data/species.csv
platyprepia-virginalis/Platyprepia virginalis-B-V.jpg,object,131256,platyprepia-virginalis,photo-no-row,no row in data/images.csv; platyprepia-virginalis is not in data/species.csv
probole-amicaria/Probole amicaria-OSAC_0000997164-D.jpg,object,378406,probole-amicaria,photo-no-row,no row in data/images.csv; probole-amicaria is not in data/species.csv
probole-amicaria/Probole amicaria-OSAC_0000997164-V.jpg,object,417189,probole-amicaria,photo-no-row,no row in data/images.csv; probole-amicaria is not in data/species.csv
prorella-leucata/Prorella leucata-OSAC0001081348-D.jpg,object,317144,prorella-leucata,photo-no-row,no row in data/images.csv; prorella-leucata is not in data/species.csv
prorella-leucata/Prorella leucata-OSAC0001081348-V.jpg,object,284004,prorella-leucata,photo-no-row,no row in data/images.csv; prorella-leucata is not in data/species.csv
protitame-matilda/Protitame matilda-A-D.jpg,object,120624,protitame-matilda,photo-no-row,no row in data/images.csv; protitame-matilda is not in data/species.csv
protitame-matilda/Protitame matilda-A-V.jpg,object,111982,protitame-matilda,photo-no-row,no row in data/images.csv; protitame-matilda is not in data/species.csv
protogygia-elevata/Protogygia elevata-B-D.jpg,object,136733,protogygia-elevata,photo-no-row,no row in data/images.csv; protogygia-elevata is not in data/species.csv
protogygia-elevata/Protogygia elevata-B-V.jpg,object,127609,protogygia-elevata,photo-no-row,no row in data/images.csv; protogygia-elevata is not in data/species.csv
protorthodes-perforata/Protorthodes perforata-A-D.jpg,object,146412,protorthodes-perforata,photo-no-row,no row in data/images.csv; protorthodes-perforata is not in data/species.csv
protorthodes-perforata/Protorthodes perforata-A-V.jpg,object,148753,protorthodes-perforata,photo-no-row,no row in data/images.csv; protorthodes-perforata is not in data/species.csv
proxenus-miranda/Proxenus miranda-B-D.jpg,object,128093,proxenus-miranda,photo-no-row,no row in data/images.csv; proxenus-miranda is published
proxenus-miranda/Proxenus miranda-B-V.jpg,object,128842,proxenus-miranda,photo-no-row,no row in data/images.csv; proxenus-miranda is published
resapamea-venosa/Resapamea venosa-B-D.jpg,object,140467,resapamea-venosa,photo-no-row,no row in data/images.csv; resapamea-venosa is published
resapamea-venosa/Resapamea venosa-B-V.jpg,object,127233,resapamea-venosa,photo-no-row,no row in data/images.csv; resapamea-venosa is published
scelidocantha-triseriata/Scelidocantha triseriata-OSAC0000130395-D.jpg,object,366545,scelidocantha-triseriata,photo-no-row,no row in data/images.csv; scelidocantha-triseriata is not in data/species.csv
scelidocantha-triseriata/Scelidocantha triseriata-OSAC0000130395-V.jpg,object,339862,scelidocantha-triseriata,photo-no-row,no row in data/images.csv; scelidocantha-triseriata is not in data/species.csv
schinia-intermontana/Schinia intermontana-A-D.jpg,object,143083,schinia-intermontana,photo-no-row,no row in data/images.csv; schinia-intermontana is published
schinia-intermontana/Schinia intermontana-A-V.jpg,object,138719,schinia-intermontana,photo-no-row,no row in data/images.csv; schinia-intermontana is published
schinia-nuchalis/Schinia nuchalis-A-D.jpg,object,158963,schinia-nuchalis,photo-no-row,no row in data/images.csv; schinia-nuchalis is not in data/species.csv
schinia-nuchalis/Schinia nuchalis-A-V.jpg,object,121044,schinia-nuchalis,photo-no-row,no row in data/images.csv; schinia-nuchalis is not in data/species.csv
sicya-mersicaria/Sicya mersicaria-A-D.jpg,object,147509,sicya-mersicaria,photo-no-row,no row in data/images.csv; sicya-mersicaria is not in data/species.csv
sicya-mersicaria/Sicya mersicaria-A-V.jpg,object,128713,sicya-mersicaria,photo-no-row,no row in data/images.csv; sicya-mersicaria is not in data/species.csv
sicya-mersicaria/Sicya mersicaria-B-D.jpg,object,144914,sicya-mersicaria,photo-no-row,no row in data/images.csv; sicya-mersicaria is not in data/species.csv
sicya-mersicaria/Sicya mersicaria-B-V.jpg,object,132230,sicya-mersicaria,photo-no-row,no row in data/images.csv; sicya-mersicaria is not in data/species.csv
sicya-morsicaria/Sicya morsicaria-OSAC_0001081361-D.jpg,object,400865,sicya-morsicaria,photo-no-row,no row in data/images.csv; sicya-morsicaria is gated and gets no page
sicya-morsicaria/Sicya morsicaria-OSAC_0001081361-V.jpg,object,361299,sicya-morsicaria,photo-no-row,no row in data/images.csv; sicya-morsicaria is gated and gets no page
sicya-morsicaria/Sicya morsicaria-OSAC_0001081364-D.jpg,object,387174,sicya-morsicaria,photo-no-row,no row in data/images.csv; sicya-morsicaria is gated and gets no page
sicya-morsicaria/Sicya morsicaria-OSAC_0001081364-V.jpg,object,350788,sicya-morsicaria,photo-no-row,no row in data/images.csv; sicya-morsicaria is gated and gets no page
simyra-insularis/Simyra insularis-A-D.jpg,object,120904,simyra-insularis,photo-no-row,no row in data/images.csv; simyra-insularis is not in data/species.csv
simyra-insularis/Simyra insularis-A-V.jpg,object,112544,simyra-insularis,photo-no-row,no row in data/images.csv; simyra-insularis is not in data/species.csv
simyra-insularis/Simyra insularis-B-D.jpg,object,115444,simyra-insularis,photo-no-row,no row in data/images.csv; simyra-insularis is not in data/species.csv
simyra-insularis/Simyra insularis-B-V.jpg,object,109147,simyra-insularis,photo-no-row,no row in data/images.csv; simyra-insularis is not in data/species.csv
smerinthus-cerisyi/Smerinthus cerisyi-A-D.jpg,object,131898,smerinthus-cerisyi,photo-no-row,no row in data/images.csv; smerinthus-cerisyi is published
smerinthus-cerisyi/Smerinthus cerisyi-A-V.jpg,object,129631,smerinthus-cerisyi,photo-no-row,no row in data/images.csv; smerinthus-cerisyi is published
snowia-montanaria/Snowia montanaria-OSAC_0001081363-D.jpg,object,356777,snowia-montanaria,photo-no-row,no row in data/images.csv; snowia-montanaria is not in data/species.csv
snowia-montanaria/Snowia montanaria-OSAC_0001081363-V.jpg,object,379125,snowia-montanaria,photo-no-row,no row in data/images.csv; snowia-montanaria is not in data/species.csv
sometolephia-ectrapelaria/Sometolephia ectrapelaria-A-D.jpg,object,165080,sometolephia-ectrapelaria,photo-no-row,no row in data/images.csv; sometolephia-ectrapelaria is not in data/species.csv
sometolephia-ectrapelaria/Sometolephia ectrapelaria-A-V.jpg,object,158138,sometolephia-ectrapelaria,photo-no-row,no row in data/images.csv; sometolephia-ectrapelaria is not in data/species.csv
sometolephia-ectrapelaria/Sometolephia ectrapelaria-B-D.jpg,object,169256,sometolephia-ectrapelaria,photo-no-row,no row in data/images.csv; sometolephia-ectrapelaria is not in data/species.csv
sometolephia-ectrapelaria/Sometolephia ectrapelaria-B-V.jpg,object,165169,sometolephia-ectrapelaria,photo-no-row,no row in data/images.csv; sometolephia-ectrapelaria is not in data/species.csv
speranza-confederata/Speranza confederata-OSAC_000021258-D.jpg,object,399630,speranza-confederata,photo-no-row,no row in data/images.csv; speranza-confederata is not in data/species.csv
speranza-confederata/Speranza confederata-OSAC_000021258-V.jpg,object,389426,speranza-confederata,photo-no-row,no row in data/images.csv; speranza-confederata is not in data/species.csv
speranza-exhauspicata/Speranza exhauspicata-A-D.jpg,object,154389,speranza-exhauspicata,photo-no-row,no row in data/images.csv; speranza-exhauspicata is not in data/species.csv
speranza-exhauspicata/Speranza exhauspicata-A-V.jpg,object,146809,speranza-exhauspicata,photo-no-row,no row in data/images.csv; speranza-exhauspicata is not in data/species.csv
speranza-exhauspicata/Speranza exhauspicata-B-D.jpg,object,160021,speranza-exhauspicata,photo-no-row,no row in data/images.csv; speranza-exhauspicata is not in data/species.csv
speranza-exhauspicata/Speranza exhauspicata-B-V.jpg,object,154413,speranza-exhauspicata,photo-no-row,no row in data/images.csv; speranza-exhauspicata is not in data/species.csv
speranza-hesperata/Speranza hesperata-OSAC_0000993197-D.jpg,object,385340,speranza-hesperata,photo-no-row,no row in data/images.csv; speranza-hesperata is not in data/species.csv
speranza-hesperata/Speranza hesperata-OSAC_0000993197-V.jpg,object,376454,speranza-hesperata,photo-no-row,no row in data/images.csv; speranza-hesperata is not in data/species.csv
speranza-hesperata/Speranza hesperata-OSAC_0001027811-D.jpg,object,362802,speranza-hesperata,photo-no-row,no row in data/images.csv; speranza-hesperata is not in data/species.csv
speranza-hesperata/Speranza hesperata-OSAC_0001027811-V.jpg,object,384605,speranza-hesperata,photo-no-row,no row in data/images.csv; speranza-hesperata is not in data/species.csv
speranza-lorguinaria/Speranza lorguinaria-A-D.jpg,object,147876,speranza-lorguinaria,photo-no-row,no row in data/images.csv; speranza-lorguinaria is not in data/species.csv
