path,unit,bytes,species_slug,shape,detail
eupithecia-segregata/Eupithecia segregata-OSAC_0001081344-V.jpg,object,314581,eupithecia-segregata,photo-no-row,no row in data/images.csv; eupithecia-segregata is not in data/species.csv
eupithecia-subfuscata/Eupithecia subfuscata-OSAC_0001081332-D.jpg,object,351769,eupithecia-subfuscata,photo-no-row,no row in data/images.csv; eupithecia-subfuscata is not in data/species.csv
eupithecia-subfuscata/Eupithecia subfuscata-OSAC_0001081332-V.jpg,object,319344,eupithecia-subfuscata,photo-no-row,no row in data/images.csv; eupithecia-subfuscata is not in data/species.csv
eupithecia-subfuscata/Eupithecia subfuscata-OSAC_0001081336-D.jpg,object,365034,eupithecia-subfuscata,photo-no-row,no row in data/images.csv; eupithecia-subfuscata is not in data/species.csv
eupithecia-subfuscata/Eupithecia subfuscata-OSAC_0001081336-V.jpg,object,345328,eupithecia-subfuscata,photo-no-row,no row in data/images.csv; eupithecia-subfuscata is not in data/species.csv
eupithecia-subvirens/Eupithecia subvirens-OSAC_0001081326-D.jpg,object,324259,eupithecia-subvirens,photo-no-row,no row in data/images.csv; eupithecia-subvirens is not in data/species.csv
eupithecia-subvirens/Eupithecia subvirens-OSAC_0001081326-V.jpg,object,331356,eupithecia-subvirens,photo-no-row,no row in data/images.csv; eupithecia-subvirens is not in data/species.csv
eupithecia-tripunctaria/Eupithecia tripunctaria-OSAC_0001081335-D.jpg,object,341284,eupithecia-tripunctaria,photo-no-row,no row in data/images.csv; eupithecia-tripunctaria is not in data/species.csv
eupithecia-tripunctaria/Eupithecia tripunctaria-OSAC_0001081335-V.jpg,object,334033,eupithecia-tripunctaria,photo-no-row,no row in data/images.csv; eupithecia-tripunctaria is not in data/species.csv
eupithecia-tripunctaria/Eupithecia tripunctaria-OSAC_0001081345-D.jpg,object,368804,eupithecia-tripunctaria,photo-no-row,no row in data/images.csv; eupithecia-tripunctaria is not in data/species.csv
eupithecia-tripunctaria/Eupithecia tripunctaria-OSAC_0001081345-V.jpg,object,355757,eupithecia-tripunctaria,photo-no-row,no row in data/images.csv; eupithecia-tripunctaria is not in data/species.csv
eupsilia-sidus/Eupsilia sidus-A-D.jpg,object,151129,eupsilia-sidus,photo-no-row,no row in data/images.csv; eupsilia-sidus is not in data/species.csv
eupsilia-sidus/Eupsilia sidus-A-V.jpg,object,153542,eupsilia-sidus,photo-no-row,no row in data/images.csv; eupsilia-sidus is not in data/species.csv
eusarca-falcata/Eusarca falcata-OSAC_0000908217-D.jpg,object,364381,eusarca-falcata,photo-no-row,no row in data/images.csv; eusarca-falcata is not in data/species.csv
eusarca-falcata/Eusarca falcata-OSAC_0000908217-V.jpg,object,360097,eusarca-falcata,photo-no-row,no row in data/images.csv; eusarca-falcata is not in data/species.csv
eusarca-falcata/Eusarca falcata-OSAC_0000990713-D.jpg,object,391533,eusarca-falcata,photo-no-row,no row in data/images.csv; eusarca-falcata is not in data/species.csv
eusarca-falcata/Eusarca falcata-OSAC_0000990713-V.jpg,object,386960,eusarca-falcata,photo-no-row,no row in data/images.csv; eusarca-falcata is not in data/species.csv
eustroma-semiatrata/Eustroma semiatrata-A-D.jpg,object,109261,eustroma-semiatrata,photo-no-row,no row in data/images.csv; eustroma-semiatrata is not in data/species.csv
eustroma-semiatrata/Eustroma semiatrata-A-V.jpg,object,109567,eustroma-semiatrata,photo-no-row,no row in data/images.csv; eustroma-semiatrata is not in data/species.csv
eustroma-semiatrata/Eustroma semiatrata-B-D.jpg,object,109500,eustroma-semiatrata,photo-no-row,no row in data/images.csv; eustroma-semiatrata is not in data/species.csv
eustroma-semiatrata/Eustroma semiatrata-B-V.jpg,object,107878,eustroma-semiatrata,photo-no-row,no row in data/images.csv; eustroma-semiatrata is not in data/species.csv
fernaldella-stalactaria/Fernaldella stalactaria-OSAC_0001006957-D.jpg,object,370462,fernaldella-stalactaria,photo-no-row,no row in data/images.csv; fernaldella-stalactaria is not in data/species.csv
fernaldella-stalactaria/Fernaldella stalactaria-OSAC_0001006957-V.jpg,object,376070,fernaldella-stalactaria,photo-no-row,no row in data/images.csv; fernaldella-stalactaria is not in data/species.csv
fernaldella-stalactaria/Fernaldella stalactaria-OSAC_0001006996-D.jpg,object,383046,fernaldella-stalactaria,photo-no-row,no row in data/images.csv; fernaldella-stalactaria is not in data/species.csv
fernaldella-stalactaria/Fernaldella stalactaria-OSAC_0001006996-V.jpg,object,369363,fernaldella-stalactaria,photo-no-row,no row in data/images.csv; fernaldella-stalactaria is not in data/species.csv
fishia-species/Fishia species-A-D.jpg,object,133366,fishia-species,photo-no-row,no row in data/images.csv; fishia-species is not in data/species.csv
fishia-species/Fishia species-A-V.jpg,object,130855,fishia-species,photo-no-row,no row in data/images.csv; fishia-species is not in data/species.csv
furcula-cinerea/Furcula cinerea-A-D.jpg,object,128109,furcula-cinerea,photo-no-row,no row in data/images.csv; furcula-cinerea is not in data/species.csv
furcula-cinerea/Furcula cinerea-A-V.jpg,object,118143,furcula-cinerea,photo-no-row,no row in data/images.csv; furcula-cinerea is not in data/species.csv
furcula-cinerea/Furcula cinerea-B-D.jpg,object,133172,furcula-cinerea,photo-no-row,no row in data/images.csv; furcula-cinerea is not in data/species.csv
furcula-cinerea/Furcula cinerea-B-V.jpg,object,127272,furcula-cinerea,photo-no-row,no row in data/images.csv; furcula-cinerea is not in data/species.csv
furcula-occidentalis/Furcula occidentalis-A-D.jpg,object,130171,furcula-occidentalis,photo-no-row,no row in data/images.csv; furcula-occidentalis is not in data/species.csv
