species_id,species_slug,record_type,latitude,longitude,state,county,locality,elevation_ft,year,month,day,collector,collection,notes
1421,parabagrotis-exsertistigma,specimen,45.083,-109.783,MT,Carbon,Hellroaring Lakes,9980,1988,7,26,Crabo/Morrell,WSU,
2020,euxoa-auxiliaris,specimen,45.083,-109.783,MT,Carbon,Hellroaring Lakes,9980,1988,7,26,Crabo/Morrell,WSU,
2074,euxoa-divergens,specimen,45.083,-109.783,MT,Carbon,Hellroaring Lakes,9980,1988,7,26,Crabo/Morrell,WSU,
1409,euxoa-lewisi,specimen,45.083,-109.783,MT,Carbon,Hellroaring Lakes,9980,1988,7,26,Crabo/Morrell,WSU,
2054,euxoa-simona,specimen,45.083,-109.783,MT,Carbon,Hellroaring Lakes,9980,1988,7,26,Crabo/Morrell,WSU,
1640,euxoa-rufula,specimen,45.083,-109.783,MT,Carbon,Hellroaring Lakes,9980,1988,7,26,Crabo/Morrell,WSU,
1732,euxoa-comosa,specimen,45.083,-109.783,MT,Carbon,Hellroaring Lakes,9980,1988,7,26,Crabo/Morrell,WSU,
2216,euxoa-castanea,specimen,45.16,-109.39,MT,Carbon,W Fork Rock Cr.,6800,1988,7,25,Crabo/Morrell,WSU,
1501,apamea-burgessi,specimen,45.433,-109.15,MT,Carbon,"Joliet, 5mW",4100,1964,9,3,D. F. Hardwick,CNC,"Mikkola, et al., 2009, Shepard notes,"
1994,apamea-zeta,specimen,45.061,-109.569,MT,Carbon,Beartooth Plateau,10662,1988,7,8,J. Reichel,CNC,"Mikkola, et al., 2009, Shepard notes,"
2260,apamea-indocilis,specimen,45.576,-109.333,MT,Stillwater,Whitebird Cr. @ Stillwater R.,3763,1993,7,6,J. & S. Shepard,JHS,
1856,apamea-lignicolora,specimen,45.576,-108.333,MT,Stillwater,Whitebird Cr. @ Stillwater R.,3763,1993,7,6,J. & S. Shepard,JHS,
1558,apamea-commoda,specimen,45.576,-109.333,MT,Stillwater,Whitebird Cr. @ Stillwater R.,3763,1993,7,6,J. & S. Shepard,JHS,
2218,apamea-cogitata,specimen,45.576,-109.333,MT,Stillwater,Whitebird Cr. @ Stillwater R.,3763,1993,7,6,J. & S. Shepard,JHS,
