species_slug,filename,photographer,weight,license,view,specimen,navigational,locality,state,latitude,longitude,elevation_ft,year,month,day,collector,subspecies
abagrotis-glenni,Abagrotis glenni-B-V.jpg,Merrill A. Peterson,4,CC BY-NC-SA 4.0,ventral,B,,Burnt R. Cyn.,OR,44.54,-117.66,4194,2001,8,22,L. G. Crabo,
abagrotis-hermina,Abagrotis-hermina-B-D.jpg,Merrill A. Peterson,1,CC BY-NC-SA 4.0,dorsal,B,,,,,,,,,,,
abagrotis-hermina,Abagrotis-hermina-B-V.jpg,Merrill A. Peterson,2,CC BY-NC-SA 4.0,ventral,B,,,,,,,,,,,
abagrotis-mirabilis,Abagrotis mirabilis-A-D.jpg,Merrill A. Peterson,1,CC BY-NC-SA 4.0,dorsal,A,,Bethel Ridge,WA,46.79,-121.09,3554,2003,7,27,L. & E. Crabo,
abagrotis-mirabilis,Abagrotis mirabilis-A-V.jpg,Merrill A. Peterson,2,CC BY-NC-SA 4.0,ventral,A,,Bethel Ridge,WA,46.79,-121.09,3554,2003,7,27,L. & E. Crabo,
abagrotis-nanalis,Abagrotis nanalis-A-D.jpg,Merrill A. Peterson,1,CC BY-NC-SA 4.0,dorsal,A,,Pine Cr.,OR,44.517,-117.918,4082,2001,8,22,L. G. Crabo,
abagrotis-nanalis,Abagrotis nanalis-A-V.jpg,Merrill A. Peterson,2,CC BY-NC-SA 4.0,ventral,A,,Pine Cr.,OR,44.517,-117.918,4082,2001,8,22,L. G. Crabo,
abagrotis-nefascia,Abagrotis nefascia-A-D.jpg,Merrill A. Peterson,1,CC BY-NC-SA 4.0,dorsal,A,,"Jim Mtn., 1.5mS",WA,47.9,-118.495,2075,2005,7,6,L. & E. Crabo,
abagrotis-nefascia,Abagrotis nefascia-A-V.jpg,Merrill A. Peterson,2,CC BY-NC-SA 4.0,ventral,A,,"Jim Mtn., 1.5mS",WA,47.9,-118.495,2075,2005,7,6,L. & E. Crabo,
abagrotis-orbis,Abagrotis orbis-A-D.jpg,Merrill A. Peterson,1,CC BY-NC-SA 4.0,dorsal,A,,Namorf,OR,43.774,-117.736,2637,2003,7,1,L. & E. Crabo,
abagrotis-orbis,Abagrotis orbis-A-V.jpg,Merrill A. Peterson,2,CC BY-NC-SA 4.0,ventral,A,,Namorf,OR,43.774,-117.736,2637,2003,7,1,L. & E. Crabo,
abagrotis-petalama,Abagrotis petalama-A-D.jpg,Merrill A. Peterson,1,CC BY-NC-SA 4.0,dorsal,A,,Burnt R. Cyn.,OR,44.55,-117.666,3179,2006,7,20,L. G. Crabo,
abagrotis-petalama,Abagrotis petalama-A-V.jpg,Merrill A. Peterson,2,CC BY-NC-SA 4.0,ventral,A,,Burnt R. Cyn.,OR,44.55,-117.666,3179,2006,7,20,L. G. Crabo,
abagrotis-placida,Abagrotis placida-A-D.jpg,Merrill A. Peterson,1,CC BY-NC-SA 4.0,dorsal,A,,Kirby Flat Rd.,BC,50.53,-121.71,3546,2005,8,5,L. G. Crabo,
abagrotis-placida,Abagrotis placida-A-V.jpg,Merrill A. Peterson,2,CC BY-NC-SA 4.0,ventral,A,,Kirby Flat Rd.,BC,50.53,-121.71,3546,2005,8,5,L. G. Crabo,
abagrotis-placida,Abagrotis placida-B-D.jpg,Merrill A. Peterson,3,CC BY-NC-SA 4.0,dorsal,B,,Bethel Ridge,WA,46.79,-121.09,3554,2003,7,27,L. & E. Crabo,
abagrotis-placida,Abagrotis placida-B-V.jpg,Merrill A. Peterson,4,CC BY-NC-SA 4.0,ventral,B,,Bethel Ridge,WA,46.79,-121.09,3554,2003,7,27,L. & E. Crabo,
abagrotis-pulchrata,Abagrotis pulchrata-A-D.jpg,Merrill A. Peterson,1,CC BY-NC-SA 4.0,dorsal,A,,Chrome Ridge,OR,42.442,-123.729,3779,2003,8,25,L. G. Crabo,
abagrotis-pulchrata,Abagrotis pulchrata-A-V.jpg,Merrill A. Peterson,2,CC BY-NC-SA 4.0,ventral,A,,Chrome Ridge,OR,42.442,-123.729,3779,2003,8,25,L. G. Crabo,
abagrotis-reedi,Abagrotis reedi-A-D.jpg,Merrill A. Peterson,1,CC BY-NC-SA 4.0,dorsal,A,,Burnt R. Cyn.,OR,44.55,-117.666,3179,2003,6,30,L. & E. Crabo,
abagrotis-reedi,Abagrotis reedi-A-V.jpg,Merrill A. Peterson,2,CC BY-NC-SA 4.0,ventral,A,,Burnt R. Cyn.,OR,44.55,-117.666,3179,2003,6,30,L. & E. Crabo,
abagrotis-reedi,Abagrotis reedi-B-D.jpg,Merrill A. Peterson,3,CC BY-NC-SA 4.0,dorsal,B,,Umtanum Cr.; Durr Rd.,WA,46.88,-120.57,2443,2000,8,25,L. G. Crabo,
abagrotis-reedi,Abagrotis reedi-B-V.jpg,Merrill A. Peterson,4,CC BY-NC-SA 4.0,ventral,B,,Umtanum Cr.; Durr Rd.,WA,46.88,-120.57,2443,2000,8,25,L. G. Crabo,
abagrotis-rubricundis,Abagrotis rubicundis-A-D.jpg,Merrill A. Peterson,1,CC BY-NC-SA 4.0,dorsal,A,,Chrome Ridge,OR,42.442,-123.729,3779,2003,8,25,L. G. Crabo,
abagrotis-rubricundis,Abagrotis rubicundis-A-V.jpg,Merrill A. Peterson,2,CC BY-NC-SA 4.0,ventral,A,,Chrome Ridge,OR,42.442,-123.729,3779,2003,8,25,L. G. Crabo,
abagrotis-scopeops,Abagrotis scopeops-A-D.jpg,Merrill A. Peterson,1,CC BY-NC-SA 4.0,dorsal,A,,Anatone Butte vic.,WA,46.103,-117.271,4656,2003,7,2,L. & E. Crabo,
